image_size_mb,strategy,policy,num_sats,total_in_view,connected_when_in_view,missed_when_in_view,connection_efficiency,missed_opportunity_rate
0.279,frame-spaced,random,100,57687,2241,55446,3.8847573976805867,96.11524260231941
0.279,frame-spaced,sticky,200,112575,2714,109861,2.410837219631357,97.58916278036864
0.279,frame-spaced,fifo,200,112758,2714,110044,2.40692456411075,97.59307543588925
0.279,frame-spaced,roundrobin,200,112778,2717,110061,2.4091578144673607,97.59084218553265
0.279,frame-spaced,random,200,112762,2713,110049,2.4059523598375336,97.59404764016246
0.279,orbit-spaced,sticky,1,1673,1673,0,100.0,0.0
0.279,orbit-spaced,fifo,1,1673,643,1030,38.43395098625224,61.56604901374776
0.279,orbit-spaced,roundrobin,1,1673,1673,0,100.0,0.0
0.279,orbit-spaced,random,1,1673,643,1030,38.43395098625224,61.56604901374776
0.279,orbit-spaced,sticky,50,41489,21597,19892,52.054761503048994,47.945238496951
0.279,orbit-spaced,fifo,50,46353,21597,24756,46.59245356287619,53.40754643712381
0.279,orbit-spaced,roundrobin,50,41540,21582,19958,51.95474241694752,48.04525758305248
0.279,orbit-spaced,random,50,46365,21597,24768,46.5803946942737,53.4196053057263
0.279,orbit-spaced,sticky,100,68572,21597,46975,31.49536253864551,68.50463746135449
0.279,orbit-spaced,fifo,100,71243,21597,49646,30.314557219656667,69.68544278034334
0.279,orbit-spaced,roundrobin,100,68701,21600,47101,31.440590384419444,68.55940961558056
0.279,orbit-spaced,random,100,71222,21597,49625,30.323495549128076,69.67650445087192
0.279,orbit-spaced,sticky,200,122743,21597,101146,17.59530075034829,82.40469924965171
0.279,orbit-spaced,fifo,200,123504,21597,101907,17.48688301593471,82.51311698406529
0.279,orbit-spaced,roundrobin,200,122895,21600,101295,17.57597949469059,82.42402050530941
0.279,orbit-spaced,random,200,123745,21597,102148,17.452826376823303,82.54717362317669
2.799,close-orbit-spaced,sticky,1,1673,1673,0,100.0,0.0
2.799,close-orbit-spaced,fifo,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,close-orbit-spaced,roundrobin,1,1673,1673,0,100.0,0.0
2.799,close-orbit-spaced,random,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,close-orbit-spaced,sticky,50,28196,2460,25736,8.724641793162151,91.27535820683785
2.799,close-orbit-spaced,fifo,50,28199,2460,25739,8.723713606865493,91.27628639313451
2.799,close-orbit-spaced,roundrobin,50,28199,2460,25739,8.723713606865493,91.27628639313451
2.799,close-orbit-spaced,random,50,28197,2460,25737,8.724332375784657,91.27566762421534
