image_size_mb,strategy,policy,num_sats,total_mb
2.799,orbit-spaced,sticky,200,288824.798588
2.799,orbit-spaced,fifo,200,263998.590477
2.799,orbit-spaced,roundrobin,200,262001.12235999998
2.799,orbit-spaced,random,200,306438.58226899995
28.0,close-orbit-spaced,sticky,1,23492.851054
28.0,close-orbit-spaced,fifo,1,23492.851054
28.0,close-orbit-spaced,roundrobin,1,23492.851054
28.0,close-orbit-spaced,random,1,23492.851054
28.0,close-orbit-spaced,sticky,50,35142.399675
28.0,close-orbit-spaced,fifo,50,35142.399675
28.0,close-orbit-spaced,roundrobin,50,35142.399675
28.0,close-orbit-spaced,random,50,33930.880913
28.0,close-orbit-spaced,sticky,100,35356.526752
28.0,close-orbit-spaced,fifo,100,35356.526752
28.0,close-orbit-spaced,roundrobin,100,35356.526752
28.0,close-orbit-spaced,random,100,34246.952932
28.0,close-orbit-spaced,sticky,200,35457.288071
28.0,close-orbit-spaced,fifo,200,35457.288071
28.0,close-orbit-spaced,roundrobin,200,35457.288071
28.0,close-orbit-spaced,random,200,34365.454252
28.0,close-spaced,sticky,1,23492.851054
28.0,close-spaced,fifo,1,23492.851054
28.0,close-spaced,roundrobin,1,23492.851054
28.0,close-spaced,random,1,23492.851054
28.0,close-spaced,sticky,50,23534.948792
28.0,close-spaced,fifo,50,23534.949902
28.0,close-spaced,roundrobin,50,23534.949902
28.0,close-spaced,random,50,23534.983061000003
28.0,close-spaced,sticky,100,23534.9469
28.0,close-spaced,fifo,100,23534.947301
28.0,close-spaced,roundrobin,100,23534.947301
28.0,close-spaced,random,100,23535.005736000003
28.0,close-spaced,sticky,200,23534.946389999997
28.0,close-spaced,fifo,200,23534.946615
28.0,close-spaced,roundrobin,200,23534.946615
28.0,close-spaced,random,200,23535.003602999997
28.0,frame-spaced,sticky,1,23492.851054
28.0,frame-spaced,fifo,1,23492.851054
28.0,frame-spaced,roundrobin,1,23492.851054
28.0,frame-spaced,random,1,23492.851054
28.0,frame-spaced,sticky,50,26183.226088000003
28.0,frame-spaced,fifo,50,27071.653808000003
28.0,frame-spaced,roundrobin,50,27071.653808000003
28.0,frame-spaced,random,50,27384.478522
28.0,frame-spaced,sticky,100,28993.4083
28.0,frame-spaced,fifo,100,30463.760754999996
28.0,frame-spaced,roundrobin,100,30463.760754999996
28.0,frame-spaced,random,100,30732.461664000002
28.0,frame-spaced,sticky,200,34721.416826
28.0,frame-spaced,fifo,200,35931.734688
28.0,frame-spaced,roundrobin,200,35327.918695
28.0,frame-spaced,random,200,37095.39868
28.0,orbit-spaced,sticky,1,23492.851054
28.0,orbit-spaced,fifo,1,23492.851054
28.0,orbit-spaced,roundrobin,1,23492.851054
28.0,orbit-spaced,random,1,23492.851054
28.0,orbit-spaced,sticky,50,288963.656112
28.0,orbit-spaced,fifo,50,281394.37466
28.0,orbit-spaced,roundrobin,50,281880.389701
28.0,orbit-spaced,random,50,305779.14613500005
28.0,orbit-spaced,sticky,100,278870.918871
28.0,orbit-spaced,fifo,100,268437.444662
28.0,orbit-spaced,roundrobin,100,269496.227232
28.0,orbit-spaced,random,100,305617.098634
28.0,orbit-spaced,sticky,200,274948.823388
28.0,orbit-spaced,fifo,200,262646.206076
28.0,orbit-spaced,roundrobin,200,263211.283809
28.0,orbit-spaced,random,200,306071.120998
