image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
0.279,close-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-spaced,sticky,50,21600,267,21333,98.76388888888889,1677,1410,84.07871198568873
0.279,close-spaced,fifo,50,21600,1269,20331,94.125,1677,408,24.329159212880143
0.279,close-spaced,roundrobin,50,21600,1269,20331,94.125,1677,408,24.329159212880143
0.279,close-spaced,random,50,21600,1310,20290,93.93518518518519,1677,367,21.884317233154444
0.279,close-spaced,sticky,100,21600,266,21334,98.76851851851852,1677,1411,84.13834227787717
0.279,close-spaced,fifo,100,21600,1455,20145,93.26388888888889,1677,222,13.237924865831843
0.279,close-spaced,roundrobin,100,21600,1455,20145,93.26388888888889,1677,222,13.237924865831843
0.279,close-spaced,random,100,21600,1392,20208,93.55555555555556,1677,285,16.99463327370304
0.279,close-spaced,sticky,200,21600,266,21334,98.76851851851852,1677,1411,84.13834227787717
0.279,close-spaced,fifo,200,21600,1459,20141,93.24537037037037,1677,218,12.999403697078115
0.279,close-spaced,roundrobin,200,21600,1459,20141,93.24537037037037,1677,218,12.999403697078115
0.279,close-spaced,random,200,21600,1440,20160,93.33333333333333,1677,237,14.132379248658319
0.279,frame-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,frame-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,frame-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,frame-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,frame-spaced,sticky,50,21600,406,21194,98.12037037037037,1955,1549,79.23273657289003
0.279,frame-spaced,fifo,50,21600,1462,20138,93.23148148148148,1954,492,25.179119754350047
0.279,frame-spaced,roundrobin,50,21600,1462,20138,93.23148148148148,1955,493,25.217391304347824
