image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
0.279,close-orbit-spaced,fifo,200,21600,18906,2694,12.472222222222221,21597,2691,12.460063897763577
0.279,close-orbit-spaced,roundrobin,200,21600,18900,2700,12.5,21600,2700,12.5
0.279,close-orbit-spaced,random,200,21600,18746,2854,13.212962962962962,21597,2851,13.200907533453721
0.279,close-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-spaced,sticky,25,21600,266,21334,98.76851851851852,1677,1411,84.13834227787717
0.279,close-spaced,fifo,25,21600,1235,20365,94.2824074074074,1677,442,26.356589147286826
0.279,close-spaced,roundrobin,25,21600,1235,20365,94.2824074074074,1677,442,26.356589147286826
0.279,close-spaced,random,25,21600,1243,20357,94.24537037037038,1677,434,25.87954680977937
0.279,close-spaced,sticky,50,21600,267,21333,98.76388888888889,1677,1410,84.07871198568873
0.279,close-spaced,fifo,50,21600,1269,20331,94.125,1677,408,24.329159212880143
0.279,close-spaced,roundrobin,50,21600,1269,20331,94.125,1677,408,24.329159212880143
0.279,close-spaced,random,50,21600,1310,20290,93.93518518518519,1677,367,21.884317233154444
0.279,close-spaced,sticky,100,21600,266,21334,98.76851851851852,1677,1411,84.13834227787717
0.279,close-spaced,fifo,100,21600,1455,20145,93.26388888888889,1677,222,13.237924865831843
0.279,close-spaced,roundrobin,100,21600,1455,20145,93.26388888888889,1677,222,13.237924865831843
0.279,close-spaced,random,100,21600,1392,20208,93.55555555555556,1677,285,16.99463327370304
0.279,close-spaced,sticky,200,21600,266,21334,98.76851851851852,1677,1411,84.13834227787717
0.279,close-spaced,fifo,200,21600,1459,20141,93.24537037037037,1677,218,12.999403697078115
0.279,close-spaced,roundrobin,200,21600,1459,20141,93.24537037037037,1677,218,12.999403697078115
0.279,close-spaced,random,200,21600,1440,20160,93.33333333333333,1677,237,14.132379248658319
0.279,frame-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,frame-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,frame-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,frame-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,frame-spaced,sticky,25,21600,263,21337,98.7824074074074,1811,1548,85.47763666482606
0.279,frame-spaced,fifo,25,21600,1332,20268,93.83333333333333,1810,478,26.40883977900553
0.279,frame-spaced,roundrobin,25,21600,1332,20268,93.83333333333333,1811,479,26.449475427940367
0.279,frame-spaced,random,25,21600,1340,20260,93.7962962962963,1809,469,25.925925925925924
0.279,frame-spaced,sticky,50,21600,406,21194,98.12037037037037,1955,1549,79.23273657289003
0.279,frame-spaced,fifo,50,21600,1462,20138,93.23148148148148,1954,492,25.179119754350047
0.279,frame-spaced,roundrobin,50,21600,1462,20138,93.23148148148148,1955,493,25.217391304347824
0.279,frame-spaced,random,50,21600,1503,20097,93.04166666666667,1953,450,23.04147465437788
0.279,frame-spaced,sticky,100,21600,623,20977,97.11574074074075,2243,1620,72.2246990637539
0.279,frame-spaced,fifo,100,21600,1800,19800,91.66666666666666,2241,441,19.67871485943775
0.279,frame-spaced,roundrobin,100,21600,1800,19800,91.66666666666666,2243,443,19.750334373606776
0.279,frame-spaced,random,100,21600,1778,19822,91.76851851851852,2241,463,20.66041945560018
0.279,frame-spaced,sticky,200,21600,1047,20553,95.15277777777777,2714,1667,61.42225497420781
0.279,frame-spaced,fifo,200,21600,2320,19280,89.25925925925927,2714,394,14.517317612380252
0.279,frame-spaced,roundrobin,200,21600,2298,19302,89.36111111111111,2717,419,15.42142068457858
0.279,frame-spaced,random,200,21600,2265,19335,89.51388888888889,2713,448,16.513085145595284
0.279,orbit-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,orbit-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,orbit-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,orbit-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,orbit-spaced,sticky,25,21600,2722,18878,87.39814814814815,21597,18875,87.39639764782146
0.279,orbit-spaced,fifo,25,21600,3472,18128,83.92592592592592,14724,11252,76.41945123607715
0.279,orbit-spaced,roundrobin,25,21600,3552,18048,83.55555555555556,21579,18027,83.53955234255525
0.279,orbit-spaced,random,25,21600,3471,18129,83.93055555555556,14707,11236,76.39899367648059
0.279,orbit-spaced,sticky,50,21600,6395,15205,70.39351851851852,21597,15202,70.38940593600962
0.279,orbit-spaced,fifo,50,21600,6967,14633,67.74537037037037,21597,14630,67.74088993841737
0.279,orbit-spaced,roundrobin,50,21600,7264,14336,66.37037037037037,21582,14318,66.34232230562506
0.279,orbit-spaced,random,50,21600,6962,14638,67.76851851851852,21597,14635,67.76404130203268
0.279,orbit-spaced,sticky,100,21600,13666,7934,36.73148148148148,21597,7931,36.72269296661573
0.279,orbit-spaced,fifo,100,21600,13751,7849,36.33796296296296,21597,7846,36.32911978515534
0.279,orbit-spaced,roundrobin,100,21600,14832,6768,31.333333333333336,21600,6768,31.333333333333336
0.279,orbit-spaced,random,100,21600,13807,7793,36.0787037037037,21597,7790,36.06982451266379
0.279,orbit-spaced,sticky,200,21600,12972,8628,39.94444444444444,21597,8625,39.936102236421725
0.279,orbit-spaced,fifo,200,21600,19438,2162,10.00925925925926,21597,2159,9.996758809093857
0.279,orbit-spaced,roundrobin,200,21600,19539,2061,9.541666666666666,21600,2061,9.541666666666666
0.279,orbit-spaced,random,200,21600,18899,2701,12.50462962962963,21597,2698,12.492475806825022
2.799,close-orbit-spaced,sticky,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,close-orbit-spaced,fifo,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,close-orbit-spaced,roundrobin,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,close-orbit-spaced,random,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,close-orbit-spaced,sticky,25,21600,19816,1784,8.25925925925926,21597,1781,8.246515719775894
2.799,close-orbit-spaced,fifo,25,21600,20119,1481,6.856481481481482,21030,911,4.331906799809795
2.799,close-orbit-spaced,roundrobin,25,21600,20035,1565,7.24537037037037,21579,1544,7.155104499745122
2.799,close-orbit-spaced,random,25,21600,20121,1479,6.847222222222222,21028,907,4.313296556971657
2.799,close-orbit-spaced,sticky,50,21600,19843,1757,8.13425925925926,21597,1754,8.121498356253182
2.799,close-orbit-spaced,fifo,50,21600,20875,725,3.356481481481482,21563,688,3.190650651579094
2.799,close-orbit-spaced,roundrobin,50,21600,20784,816,3.7777777777777777,21581,797,3.693063342755201
2.799,close-orbit-spaced,random,50,21600,20874,726,3.361111111111111,21564,690,3.1997774067890927
2.799,close-orbit-spaced,sticky,100,21600,19839,1761,8.152777777777779,21597,1758,8.140019447145438
2.799,close-orbit-spaced,fifo,100,21600,21284,316,1.462962962962963,21597,313,1.4492753623188406
2.799,close-orbit-spaced,roundrobin,100,21600,21211,389,1.800925925925926,21600,389,1.800925925925926
2.799,close-orbit-spaced,random,100,21600,21265,335,1.5509259259259258,21597,332,1.537250544057045
2.799,close-orbit-spaced,sticky,200,21600,19822,1778,8.231481481481481,21597,1775,8.218734083437514
2.799,close-orbit-spaced,fifo,200,21600,21473,127,0.5879629629629629,21597,124,0.5741538176598602
