image_size_mb,image_size_kb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
280.0,280000,orbit-spaced,fifo,15,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,roundrobin,15,21600,21597,3,0.013888888888888888,21600,3,0.013888888888888888
280.0,280000,orbit-spaced,random,15,21600,21597,3,0.013888888888888888,21597,0,0.0
28.0,28000,orbit-spaced,sticky,19,21600,21456,144,0.6666666666666667,21597,141,0.6528684539519378
28.0,28000,orbit-spaced,fifo,19,21600,21480,120,0.5555555555555556,21554,74,0.3433237450125267
28.0,28000,orbit-spaced,roundrobin,19,21600,21404,196,0.9074074074074074,21438,34,0.15859688403769007
28.0,28000,orbit-spaced,random,19,21600,21480,120,0.5555555555555556,21554,74,0.3433237450125267
280.0,280000,orbit-spaced,sticky,50,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,fifo,50,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,roundrobin,50,21600,21579,21,0.09722222222222222,21582,3,0.013900472616068946
280.0,280000,orbit-spaced,random,50,21600,21597,3,0.013888888888888888,21597,0,0.0
28.0,28000,orbit-spaced,sticky,25,21600,21528,72,0.33333333333333337,21597,69,0.3194888178913738
28.0,28000,orbit-spaced,fifo,25,21600,21541,59,0.27314814814814814,21597,56,0.2592952724915497
28.0,28000,orbit-spaced,roundrobin,25,21600,21484,116,0.537037037037037,21581,97,0.44946944071173717
28.0,28000,orbit-spaced,random,25,21600,21541,59,0.27314814814814814,21597,56,0.2592952724915497
0.279,279,orbit-spaced,sticky,25,21600,2712,18888,87.44444444444444,21597,18885,87.4427003750521
0.279,279,orbit-spaced,fifo,25,21600,3476,18124,83.9074074074074,14731,11255,76.40350281718824
0.279,279,orbit-spaced,roundrobin,25,21600,3559,18041,83.52314814814815,21581,18022,83.50864186089616
0.279,279,orbit-spaced,random,25,21600,3476,18124,83.9074074074074,14715,11239,76.3778457356439
1024.0,1024000,orbit-spaced,sticky,21,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,21,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,21,21600,21492,108,0.5,21495,3,0.013956734124214934
1024.0,1024000,orbit-spaced,random,21,21600,21597,3,0.013888888888888888,21597,0,0.0
0.279,279,orbit-spaced,sticky,18,21600,2138,19462,90.10185185185186,21597,19459,90.10047691809048
0.279,279,orbit-spaced,fifo,18,21600,2517,19083,88.34722222222223,10593,8076,76.23902577173605
0.279,279,orbit-spaced,roundrobin,18,21600,2569,19031,88.10648148148148,21600,19031,88.10648148148148
0.279,279,orbit-spaced,random,18,21600,2517,19083,88.34722222222223,10581,8064,76.21207825347321
1024.0,1024000,orbit-spaced,sticky,18,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,18,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,18,21600,21597,3,0.013888888888888888,21600,3,0.013888888888888888
1024.0,1024000,orbit-spaced,random,18,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,sticky,22,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,22,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,22,21600,21517,83,0.3842592592592593,21520,3,0.013940520446096654
1024.0,1024000,orbit-spaced,random,22,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,sticky,15,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,15,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,15,21600,21597,3,0.013888888888888888,21600,3,0.013888888888888888
1024.0,1024000,orbit-spaced,random,15,21600,21597,3,0.013888888888888888,21597,0,0.0
28.0,28000,orbit-spaced,sticky,18,21600,21438,162,0.75,21597,159,0.7362133629670787
28.0,28000,orbit-spaced,fifo,18,21600,21438,162,0.75,21537,99,0.45967404931048894
28.0,28000,orbit-spaced,roundrobin,18,21600,21438,162,0.75,21600,162,0.75
28.0,28000,orbit-spaced,random,18,21600,21438,162,0.75,21537,99,0.45967404931048894
1024.0,1024000,orbit-spaced,sticky,20,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,20,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,20,21600,21467,133,0.6157407407407407,21470,3,0.013972985561248253
1024.0,1024000,orbit-spaced,random,20,21600,21597,3,0.013888888888888888,21597,0,0.0
2.799,2799,orbit-spaced,sticky,19,21600,19278,2322,10.75,21597,2319,10.737602444783997
2.799,2799,orbit-spaced,fifo,19,21600,19513,2087,9.662037037037036,20348,835,4.103597405150383
2.799,2799,orbit-spaced,roundrobin,19,21600,19488,2112,9.777777777777779,21438,1950,9.095997760985167
2.799,2799,orbit-spaced,random,19,21600,19514,2086,9.657407407407408,20344,830,4.079826976012583
2.799,2799,orbit-spaced,sticky,22,21600,19586,2014,9.324074074074073,21597,2011,9.311478446080475
2.799,2799,orbit-spaced,fifo,22,21600,19855,1745,8.078703703703702,20706,851,4.109919830000966
2.799,2799,orbit-spaced,roundrobin,22,21600,19803,1797,8.319444444444445,21520,1717,7.978624535315985
2.799,2799,orbit-spaced,random,22,21600,19856,1744,8.074074074074074,20705,849,4.100458826370442
2.799,2799,orbit-spaced,sticky,18,21600,19171,2429,11.24537037037037,21597,2426,11.233041626151781
2.799,2799,orbit-spaced,fifo,18,21600,19384,2216,10.25925925925926,20220,836,4.134520276953511
2.799,2799,orbit-spaced,roundrobin,18,21600,19368,2232,10.333333333333334,21600,2232,10.333333333333334
2.799,2799,orbit-spaced,random,18,21600,19384,2216,10.25925925925926,20218,834,4.125037095657335
280.0,280000,orbit-spaced,sticky,19,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,fifo,19,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,roundrobin,19,21600,21435,165,0.7638888888888888,21438,3,0.013993842709207949
280.0,280000,orbit-spaced,random,19,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,sticky,19,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,19,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,19,21600,21435,165,0.7638888888888888,21438,3,0.013993842709207949
1024.0,1024000,orbit-spaced,random,19,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,sticky,25,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,25,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,25,21600,21578,22,0.10185185185185185,21581,3,0.013901116723043417
1024.0,1024000,orbit-spaced,random,25,21600,21597,3,0.013888888888888888,21597,0,0.0
0.027,27,orbit-spaced,sticky,19,21600,189,21411,99.125,21597,21408,99.12487845534102
0.027,27,orbit-spaced,fifo,19,21600,252,21348,98.83333333333333,10381,10129,97.57248819959543
0.027,27,orbit-spaced,roundrobin,19,21600,252,21348,98.83333333333333,21438,21186,98.82451721242653
0.027,27,orbit-spaced,random,19,21600,252,21348,98.83333333333333,10374,10122,97.57085020242914
28.0,28000,orbit-spaced,sticky,20,21600,21482,118,0.5462962962962963,21597,115,0.5324813631522897
28.0,28000,orbit-spaced,fifo,20,21600,21518,82,0.37962962962962965,21579,61,0.28268223736039666
28.0,28000,orbit-spaced,roundrobin,20,21600,21425,175,0.8101851851851851,21470,45,0.20959478341872378
28.0,28000,orbit-spaced,random,20,21600,21518,82,0.37962962962962965,21579,61,0.28268223736039666
0.027,27,orbit-spaced,sticky,10,21600,133,21467,99.38425925925925,16130,15997,99.17544947303162
0.027,27,orbit-spaced,fifo,10,21600,133,21467,99.38425925925925,5488,5355,97.5765306122449
0.027,27,orbit-spaced,roundrobin,10,21600,133,21467,99.38425925925925,16133,16000,99.17560280171078
0.027,27,orbit-spaced,random,10,21600,133,21467,99.38425925925925,5488,5355,97.5765306122449
0.027,27,orbit-spaced,sticky,20,21600,200,21400,99.07407407407408,21597,21397,99.07394545538733
0.027,27,orbit-spaced,fifo,20,21600,265,21335,98.77314814814815,10933,10668,97.57614561419555
0.027,27,orbit-spaced,roundrobin,20,21600,265,21335,98.77314814814815,21470,21205,98.76571960875641
0.027,27,orbit-spaced,random,20,21600,265,21335,98.77314814814815,10925,10660,97.57437070938215
28.0,28000,orbit-spaced,sticky,15,21600,21478,122,0.5648148148148148,21597,119,0.5510024540445432
28.0,28000,orbit-spaced,fifo,15,21600,21478,122,0.5648148148148148,21557,79,0.3664702880734796
28.0,28000,orbit-spaced,roundrobin,15,21600,21478,122,0.5648148148148148,21600,122,0.5648148148148148
28.0,28000,orbit-spaced,random,15,21600,21478,122,0.5648148148148148,21557,79,0.3664702880734796
0.279,279,orbit-spaced,sticky,19,21600,2207,19393,89.7824074074074,21597,19390,89.7809881001991
0.279,279,orbit-spaced,fifo,19,21600,2637,18963,87.79166666666667,11180,8543,76.41323792486583
0.279,279,orbit-spaced,roundrobin,19,21600,2693,18907,87.5324074074074,21438,18745,87.43819386136767
0.279,279,orbit-spaced,random,19,21600,2637,18963,87.79166666666667,11170,8533,76.3921217547001
2.799,2799,orbit-spaced,sticky,18,21600,19171,2429,11.24537037037037,21597,2426,11.233041626151781
2.799,2799,orbit-spaced,fifo,18,21600,19384,2216,10.25925925925926,20220,836,4.134520276953511
2.799,2799,orbit-spaced,roundrobin,18,21600,19368,2232,10.333333333333334,21600,2232,10.333333333333334
2.799,2799,orbit-spaced,random,18,21600,19384,2216,10.25925925925926,20218,834,4.125037095657335
2.799,2799,orbit-spaced,sticky,17,21600,19048,2552,11.814814814814815,21597,2549,11.802565171088578
2.799,2799,orbit-spaced,fifo,17,21600,19224,2376,11.0,20098,874,4.348691412080804
2.799,2799,orbit-spaced,roundrobin,17,21600,19215,2385,11.041666666666666,21600,2385,11.041666666666666
2.799,2799,orbit-spaced,random,17,21600,19224,2376,11.0,20097,873,4.343931930138827
2.799,2799,orbit-spaced,sticky,19,21600,19278,2322,10.75,21597,2319,10.737602444783997
2.799,2799,orbit-spaced,fifo,19,21600,19513,2087,9.662037037037036,20348,835,4.103597405150383
2.799,2799,orbit-spaced,roundrobin,19,21600,19488,2112,9.777777777777779,21438,1950,9.095997760985167
2.799,2799,orbit-spaced,random,19,21600,19514,2086,9.657407407407408,20344,830,4.079826976012583
28.0,28000,orbit-spaced,sticky,15,21600,21478,122,0.5648148148148148,21597,119,0.5510024540445432
28.0,28000,orbit-spaced,fifo,15,21600,21478,122,0.5648148148148148,21557,79,0.3664702880734796
28.0,28000,orbit-spaced,roundrobin,15,21600,21478,122,0.5648148148148148,21600,122,0.5648148148148148
28.0,28000,orbit-spaced,random,15,21600,21478,122,0.5648148148148148,21557,79,0.3664702880734796
280.0,280000,orbit-spaced,sticky,18,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,fifo,18,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,roundrobin,18,21600,21597,3,0.013888888888888888,21600,3,0.013888888888888888
280.0,280000,orbit-spaced,random,18,21600,21597,3,0.013888888888888888,21597,0,0.0
28.0,28000,orbit-spaced,sticky,18,21600,21438,162,0.75,21597,159,0.7362133629670787
28.0,28000,orbit-spaced,fifo,18,21600,21438,162,0.75,21537,99,0.45967404931048894
28.0,28000,orbit-spaced,roundrobin,18,21600,21438,162,0.75,21600,162,0.75
28.0,28000,orbit-spaced,random,18,21600,21438,162,0.75,21537,99,0.45967404931048894
2.799,2799,orbit-spaced,sticky,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,2799,orbit-spaced,fifo,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,2799,orbit-spaced,roundrobin,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,2799,orbit-spaced,random,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
0.027,27,orbit-spaced,sticky,20,21600,200,21400,99.07407407407408,21597,21397,99.07394545538733
0.027,27,orbit-spaced,fifo,20,21600,265,21335,98.77314814814815,10933,10668,97.57614561419555
0.027,27,orbit-spaced,roundrobin,20,21600,265,21335,98.77314814814815,21470,21205,98.76571960875641
0.027,27,orbit-spaced,random,20,21600,265,21335,98.77314814814815,10925,10660,97.57437070938215
280.0,280000,orbit-spaced,sticky,10,21600,16130,5470,25.324074074074076,16130,0,0.0
280.0,280000,orbit-spaced,fifo,10,21600,16130,5470,25.324074074074076,16130,0,0.0
280.0,280000,orbit-spaced,roundrobin,10,21600,16130,5470,25.324074074074076,16133,3,0.018595425525320772
280.0,280000,orbit-spaced,random,10,21600,16130,5470,25.324074074074076,16130,0,0.0
1024.0,1024000,orbit-spaced,sticky,20,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,fifo,20,21600,21597,3,0.013888888888888888,21597,0,0.0
1024.0,1024000,orbit-spaced,roundrobin,20,21600,21467,133,0.6157407407407407,21470,3,0.013972985561248253
1024.0,1024000,orbit-spaced,random,20,21600,21597,3,0.013888888888888888,21597,0,0.0
0.027,27,orbit-spaced,sticky,19,21600,189,21411,99.125,21597,21408,99.12487845534102
0.027,27,orbit-spaced,fifo,19,21600,252,21348,98.83333333333333,10381,10129,97.57248819959543
