image_size_mb,policy,num_sats,orbital_spacing_deg,data_downloaded_gb
0.279,random,20,18.0,36.6061098984375
0.279,sticky,25,14.4,45.29875451269531
0.279,fifo,25,14.4,45.661586225585935
0.279,roundrobin,25,14.4,45.19968162402344
0.279,random,25,14.4,45.661012798828125
0.279,sticky,50,7.2,89.04928721386719
0.279,fifo,50,7.2,91.63512527929687
0.279,roundrobin,50,7.2,90.20324847167969
0.279,random,50,7.2,91.63283193164062
0.279,sticky,100,3.6,170.80430402246094
0.279,fifo,100,3.6,183.14508307714846
0.279,roundrobin,100,3.6,180.10310115820312
0.279,random,100,3.6,182.91664404882812
0.279,sticky,200,1.8,163.19786333007812
0.279,fifo,200,1.8,243.1095184404297
0.279,roundrobin,200,1.8,238.88222642187498
0.279,random,200,1.8,268.3480471005859
2.799,sticky,1,360.0,16.57528295800781
2.799,fifo,1,360.0,16.57528295800781
2.799,roundrobin,1,360.0,16.57528295800781
2.799,random,1,360.0,16.57528295800781
2.799,sticky,10,36.0,182.0952714140625
2.799,fifo,10,36.0,182.0952714140625
2.799,roundrobin,10,36.0,182.0952714140625
2.799,random,10,36.0,182.0952714140625
2.799,sticky,15,24.0,267.1243838447266
2.799,fifo,15,24.0,267.0367543388672
2.799,roundrobin,15,24.0,266.9728733798828
2.799,random,15,24.0,267.0367543388672
2.799,sticky,17,21.176470588235293,273.4673057705078
2.799,fifo,17,21.176470588235293,273.5336540136719
2.799,roundrobin,17,21.176470588235293,273.221129203125
2.799,random,17,21.176470588235293,273.5279196142578
2.799,sticky,18,20.0,276.07169506933593
2.799,fifo,18,20.0,276.3631781875
2.799,roundrobin,18,20.0,275.9158949765625
2.799,random,18,20.0,276.3545765878906
2.799,sticky,19,18.94736842105263,277.76006650878907
2.799,fifo,19,18.94736842105263,278.2753686826172
2.799,roundrobin,19,18.94736842105263,277.45821666015627
2.799,random,19,18.94736842105263,278.2737157041016
2.799,sticky,20,18.0,278.9238001962891
2.799,fifo,20,18.0,279.79252877832033
2.799,roundrobin,20,18.0,278.7890087470703
2.799,random,20,18.0,279.7896615771484
2.799,sticky,25,14.4,279.0548189814453
2.799,fifo,25,14.4,282.2460306738281
2.799,roundrobin,25,14.4,279.9706449814453
2.799,random,25,14.4,282.2402962724609
2.799,sticky,50,7.2,283.78121226660153
2.799,fifo,50,7.2,271.1895469267578
2.799,roundrobin,50,7.2,267.9042735107422
2.799,random,50,7.2,292.4153062705078
2.799,sticky,100,3.6,283.1169547402344
2.799,fifo,100,3.6,263.2464006191407
2.799,roundrobin,100,3.6,260.03255251953124
2.799,random,100,3.6,295.07954916992185
